,date
https://www.npr.org/2020/10/14/923643672/who-s-had-it-back-on-trail-trump-touts-his-own-bout-with-the-coronavirus,"Now out of the hospital and back on the campaign trail, President Trump has been downplaying the risks of catching the virus, a new twist in his defense of how the White House handled the pandemic.",,20201015-0930
https://www.npr.org/2020/10/14/923306264/you-cannot-serve-both-god-and-money-vatican-s-financial-scandal-takes-new-twist,"Italian police arrested a woman linked to a cardinal fired by Pope Francis, the latest development in an investigation into alleged financial crimes involving the Vatican.",,20201015-0930
https://www.npr.org/sections/health-shots/2020/09/01/816707182/map-tracking-the-spread-of-the-coronavirus-in-the-u-s,"View NPR's maps and graphics to see where COVID-19 is hitting hardest in the U.S., which state outbreaks are growing and which are leveling off.",,20201015-0930
https://www.npr.org/sections/goatsandsoda/2020/03/30/822491838/coronavirus-world-map-tracking-the-spread-of-the-outbreak,Coronavirus World Map: Tracking The Spread Of The Outbreak,,20201015-0930
https://www.npr.org/2020/10/15/923637375/takeaways-from-amy-coney-barretts-judiciary-confirmation-hearings,"President Trump's nominee deflected answering most questions, citing precedent that she can't weigh in on issues she may rule on. Weeks before the election Democrats largely honed in on health care.",,20201015-1000
https://www.npr.org/2020/10/15/923793792/house-democrats-campaign-committee-launches-blitz-targeting-black-voters,House Democrats' Campaign Committee Launches Blitz Targeting Black Voters,,20201015-1000
https://www.npr.org/2020/10/14/923766097/facebook-and-twitter-limit-sharing-new-york-post-story-about-joe-biden,Facebook And Twitter Limit Sharing 'New York Post' Story About Joe Biden,,20201015-1000
https://www.npr.org/2020/10/15/923787027/failed-by-the-courts-texans-hoping-to-vote-by-mail-have-to-hit-the-polls-instead,'Failed By The Courts': Texans Hoping To Vote By Mail Have To Hit The Polls Instead,,20201015-1000
https://www.npr.org/2020/10/13/923405080/lyrics-on-trial-mac-phipps-pt-2,"The rapper Mac is serving a 30-year sentence for a murder someone else confessed to. In this episode, he reflects on how his lyrics were used against him, and a previously unknown witness comes forward.",,20201015-1000
https://www.npr.org/sections/health-shots/2020/10/15/923349314/when-false-information-goes-viral-covid-19-patient-groups-fight-back,Health communication experts say that misinformation spread through support groups can undermine trust in medicine and science. But some patients work to counter falsehoods with facts.,,20201015-1000
https://www.npr.org/2020/10/15/923592572/the-end-of-oil-battle-lines-drawn-as-industry-grapples-with-energys-future,The pandemic is adding renewed urgency to a critical debate: Just how quickly can the planet reduce its dependence on oil?,,20201015-1000
https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/10/14/923695262/woman-who-called-police-on-black-bird-watcher-allegedly-made-a-second-911-call,"The woman was captured on cellphone video calling police on a Black bird-watcher in Central Park this summer. She allegedly went a step further in the second call, saying he ""tried to assault her.""",,20201015-1000
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923727094/paris-under-curfew-europe-reacts-as-countries-see-highest-ever-coronavirus-numbe,"President Emmanuel Macron announced nightly curfews for Paris and other cities Wednesday, part of a wave of new coronavirus restrictions in Europe.",,20201015-1000
https://www.npr.org/2020/10/14/922153898/his-private-border-wall-enraged-neighbors-then-he-landed-2b-to-build-walls-for-t,The privately built border wall in Texas teeters on the banks of the Rio Grande with serious erosion problems. The contractor was awarded more than $2 billion in official wall contracts.,,20201015-1000
https://www.npr.org/2020/10/14/923851384/biden-announces-record-383-million-september-haul,"The total is a new record-breaking one-month sum, topping its August record of $364.5 million.",,20201015-1000
https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/10/14/923674576/gun-waving-st-louis-couple-plead-not-guilty-to-2-felony-charges,A grand jury indicted Mark and Patricia McCloskey last week on weapon and evidence charges. The case stems from a confrontation between the McCloskeys and protesters for racial justice on June 28.,,20201015-1000
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923785152/russias-putin-announces-approval-of-a-second-unproven-coronavirus-vaccine,"The announcement comes two months after the Russian leader touted ""registration"" of what was billed as the world's first SARS-CoV-2 vaccine. But neither drug has completed large-scale human trials.",,20201015-1000
