source,breitbart,dailycaller,foxnews,washingtonpost
L1_breitbart,0.28648098618158846,0.4594316158301227,-0.011224193956667544,0.4539154282289609
L1_dailycaller,-0.041427521897801925,0.23961923821255152,-0.04222885273230104,0.06331999796299577
L1_foxnews,-0.07450496974499374,0.15592620454082157,0.3007132453585048,-0.21012199440584964
L1_washingtonpost,0.2869898307401791,0.23245382203474935,-0.32454815967513734,0.6938886664887115
L2_breitbart,0.4418571328665409,0.516523233880853,0.14561983387079624,0.3282962018522684
L2_dailycaller,0.03634524825436489,0.2759675026814119,-0.07527293837546792,-0.032933393698575515
L2_foxnews,-0.030170844715825575,0.21953624623706652,0.4594850430003454,-0.2489508975957616
L2_washingtonpost,0.2869898307401791,0.20072614158989502,-0.32454815967513734,0.6938886664887115
L3_breitbart,0.48771181977603995,0.41147768995296435,0.20913910371144792,0.23664279788623205
L3_dailycaller,0.06624283436072462,0.2869488976462169,-0.10069882750445844,-0.0642439177559124
L3_foxnews,0.013221904921272442,0.2078661912821838,0.4824582202873892,-0.2318101516177072
L3_washingtonpost,0.18312448915390148,0.2324538220347494,-0.27202013383176255,0.6938886664887115
L4_breitbart,0.5774563484038382,0.38228278416798434,0.264923738854605,0.2722218492927232
L4_dailycaller,0.1396201468335144,0.34021037841708557,-0.32505479451526803,0.08133380398349777
L4_foxnews,0.1181766401025913,0.25898794826978955,0.4385256483035254,0.05438811472577522
L4_washingtonpost,0.06627597986933906,0.32310433759147605,-0.14070006922332545,0.6938886664887115
L5_breitbart,0.6136693297851623,0.2539769124083391,0.2351299330455681,0.20546131209823554
L5_dailycaller,0.22570214740874175,0.45837988103337035,-0.4038247523018862,0.34843271642930423
L5_foxnews,0.2177795135286985,0.3170585876394428,0.3697108040407481,-0.013503242855582824
L5_washingtonpost,0.1095532055302881,0.23245382203474935,0.030016014767642766,0.6938886664887115
L6_breitbart,0.49123473696135167,0.12054355777282859,-0.030683059459026007,0.22967971984341098
L6_dailycaller,0.32454520382122726,0.5274155956268824,-0.44973315772323263,0.3542179546692802
L6_foxnews,0.3203835618831106,0.3607684542512234,0.3332306902866416,0.14307341243035454
L6_washingtonpost,0.15283043119123718,0.1780635127007133,0.13507206645439246,0.6938886664887116
L7_breitbart,0.43159338154076987,0.18741316340436992,-0.3859400320467817,0.25878027237358586
L7_dailycaller,0.3199927212442635,0.49555617767811766,-0.6091762169259544,0.3061615666703204
L7_foxnews,0.42992669946502726,0.44482099900968597,0.37033263182321846,0.07181794466344445
L7_washingtonpost,0.22640171481485055,0.17806351270071333,0.12194005999354879,0.6938886664887116
L8_breitbart,0.3906177463150872,0.31646071798875763,-0.4390494213990835,0.47135693069984835
L8_dailycaller,0.25579888997947936,0.5037639845928203,-0.6968543884303048,0.31449042219806234
L8_foxnews,0.5326709691111813,0.3295905302944429,0.5027005441645496,0.1297275709780507
L8_washingtonpost,0.295645275872369,0.17806351270071333,-0.009380004614888372,0.6938886664887116
L9_breitbart,0.4392699702470332,0.3965589422296142,-0.32929768670405996,0.4945176086503435
L9_dailycaller,0.18760382937870135,0.49509385884851487,-0.5817908661642914,0.40706928788886226
L9_foxnews,0.444925191197188,0.1162677478986417,0.58720333475031,-0.07659753643996962
L9_washingtonpost,0.3389225015333181,0.1780635127007134,-0.035644017536575825,0.6938886664887116
L10_breitbart,0.5387355872949002,0.37815049240271004,-0.272513802521065,0.42183644023633265
L10_dailycaller,0.17970312676221434,0.5113747046742977,-0.46599721741237765,0.366951884907964
L10_foxnews,0.30059642109827306,-0.06208022238060015,0.7012040628862956,-0.04492183483248374
L10_washingtonpost,0.3389225015333181,0.16899846114504072,-0.10130404984079437,0.6938886664887117
L11_breitbart,0.5645873910439136,0.3067151497280022,-0.2211184549309037,0.37498191139220777
L11_dailycaller,0.23059401321961237,0.615748703806342,-0.39676601496852143,0.2907886065954653
L11_foxnews,0.171434944483005,-0.26306838804032295,0.6558123631953986,-0.02427152145648552
L11_washingtonpost,0.30430072100455885,0.08288047136615027,-0.14070006922332554,0.6938886664887117
L12_breitbart,0.5829335996604155,0.28261103972308477,-0.19374943399874195,0.39101993341034363
L12_dailycaller,0.2286861016884985,0.657509656557212,-0.28412507361453676,0.1931144746716372
L12_foxnews,0.0487704291727891,-0.3696406692336974,0.6635069810525864,-0.15706601203424125
L12_washingtonpost,0.16148587632342698,0.1508683580336954,-0.25888812737091893,0.6938886664887117
