source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.10784092268124003,0.13044172663595036,0.14368760790200735,0.1275484073274145,-0.057085571330943496,0.08003155730673729,0.0761419377263353
L1_breitbart,0.4095151469916739,0.4563317814775387,-0.3290313846350349,-0.1787304561655261,-0.055727221717112446,-0.12989975003970677,0.090325952811166
L1_cnn,-0.08933393425308117,-0.1776118247780313,-0.36819738481232955,-0.08827534802982585,-0.27312521911759524,0.023285119286935812,-0.19507200829438273
L1_dailycaller,-0.28066756086341893,-0.20168626233049694,0.26929817262485156,0.11529496961457136,-0.111487251528099,-0.04227500151623671,0.09811417108655303
L1_foxnews,-0.2534584983750205,-0.22077152722053264,0.22196092531717765,0.0904500056157495,0.40047140959553335,-0.17230818170440626,0.07306083001576931
L1_newyorktimes,-0.11131729271756409,-0.276285619751223,0.39937527570690473,-0.05222192398732378,-0.06737705565011225,0.4236738113344113,-0.1462767381673409
L1_washingtonpost,-0.07149400413228195,0.08458643677354465,0.17621577240911546,-0.16259128697205258,-0.07589518836624325,0.1814242547291925,0.1914180813215152
L2_abcnews,0.18234611753598112,0.235039100086813,-0.14393203421959347,0.07463993942024016,0.06886826137930202,0.22886714773406308,0.1519160777509311
L2_breitbart,0.557657637589561,0.5922628801532731,-0.3123259973003282,-0.09172796891895024,-0.11175460936261172,0.04685289040839207,0.10795225248291707
L2_cnn,-0.23252631120293132,-0.20478575719139158,-0.20722783568251768,-0.23672148089066963,-0.4128166310991333,-0.01969492968336294,-0.25129752319309456
L2_dailycaller,-0.33599260537096676,-0.3002495340835834,0.1291180965170566,-0.017372883477542057,-0.1691259463679292,0.12854747674228367,0.0476527544714879
L2_foxnews,-0.26702169504866363,-0.24597342165969585,0.1606539376286482,-0.055471573887587305,0.0718972494828759,0.15730887135400198,0.010379048277036474
L2_newyorktimes,-0.06201088566005904,-0.20151954224806157,0.06870553393693893,-0.23137021663014629,-0.06295978568090563,0.2898722206442345,-0.17663480990366176
L2_washingtonpost,0.07026770566032423,0.07720475716191234,0.007024462512083961,-0.16191444307197578,-0.15578801450219792,0.25724962833442855,-0.0956555636697409
L3_abcnews,0.3673692118913118,0.3121748403169138,-0.158943565414548,0.09742016917446002,0.17283950536503614,0.14725535147791957,0.04553713128336349
L3_breitbart,0.5740506348728968,0.4708302297642752,-0.1713347238362674,0.09001574289676051,-0.08789326845211368,0.20567501619509196,0.006879037556312219
L3_cnn,-0.18390124765144195,-0.1514782696945579,-0.08018073457510283,-0.07787901529002036,-0.2379857772479313,0.11845636743796488,-0.016879576055682778
L3_dailycaller,-0.3670115307792474,-0.31297035103462534,-0.009622520284768546,-0.1516226988538061,-0.2501484557571848,0.38429137848903844,-0.04447122663329887
L3_foxnews,-0.4014456361711689,-0.36269609794999547,0.45029291004664107,-0.0528181550303381,0.09164703049275343,0.1529466460419676,-0.05888185422743821
L3_newyorktimes,-0.11560233177846807,-0.13048017032693424,0.1336167100375492,-0.39985330611799674,-0.16033695542896909,0.3034149568411801,-0.1792727557788232
L3_washingtonpost,0.1120167138301626,-0.04852137616967971,0.16598533788233705,-0.024315864595119793,-0.007753947978871685,0.4109838347593135,-0.2497130563927518
L4_abcnews,0.3510375633660787,0.32552230828836204,-0.09516995902949085,0.12447382854645701,0.08540284166521789,0.0028608368748502693,0.06147131973126673
L4_breitbart,0.6309645969776686,0.39719929595437653,-0.12819643640993972,0.16182277179091847,-0.009682699262115778,0.1746179331869514,-0.11001882571249304
L4_cnn,-0.18536388221326305,-0.20000609955073112,0.14597175127832618,0.16266344619151138,-0.1520866411394789,0.23445689713986853,0.18050193232923128
L4_dailycaller,-0.39381675762212054,-0.30051251525306144,0.23738516225211953,-0.13753131142707883,-0.3123229896831215,0.41311394589384987,-0.09367658676764296
L4_foxnews,-0.416752160875588,-0.3729452563190738,0.28646990767164293,-0.07196965255657174,0.06838132240256202,-0.058914331366365626,-0.06244860887913209
L4_newyorktimes,-0.09249466461577237,-0.11753736339824394,0.4202602235000872,-0.22438813407617286,-0.062488740635845474,0.23917175333078153,-0.08119693650491581
