source,newyorktimes,washingtonpost
L1_newyorktimes,0.3761342459635736,0.05487965942878106
L1_washingtonpost,0.26660545535081376,0.020281398137543306
L2_newyorktimes,0.5984050084851503,-0.17560159505628736
L2_washingtonpost,0.35883444538543074,-0.3403862437468638
L3_newyorktimes,0.5860076443629502,-0.3051167474122778
L3_washingtonpost,0.2715822136953233,-0.42540704402534296
L4_newyorktimes,0.4565766699847109,-0.1290982015999014
L4_washingtonpost,0.2142563206249018,-0.3963454709729409
L5_newyorktimes,0.22572672211070688,0.019336920887636506
L5_washingtonpost,0.1560486389729206,-0.5506606200900641
L6_newyorktimes,0.1345157297136101,0.03278620396864259
L6_washingtonpost,0.17215990325421962,-0.5601540356331288
L7_newyorktimes,0.14331535165170572,0.07399700394325365
L7_washingtonpost,0.18489865048567744,-0.4971577599924235
L8_newyorktimes,0.3873264627394674,-0.24378203159115294
L8_washingtonpost,0.1566099940785269,-0.4385447633101986
L9_newyorktimes,0.6317144714956179,-0.556887936793437
L9_washingtonpost,0.09639150993993666,-0.5942006565388579
L10_newyorktimes,0.7610670512201405,-0.7713053974651587
L10_washingtonpost,0.10027500313633478,-0.6565588624155289
L11_newyorktimes,0.6424349064945855,-0.6703328880432526
L11_washingtonpost,0.08861112755378446,-0.6085348874685843
L12_newyorktimes,0.42967028629903076,-0.47300725066531707
L12_washingtonpost,0.022049744087188294,-0.5126431280033267
