source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.5298087807889958,0.3306256200673656,0.22494482767136229,0.5038409928371693,0.34069541454315494,0.3131265048697564,0.021298800834920185
L1_breitbart,-0.011728993103827164,0.11679618357502719,0.032842249342782376,0.22589013097733873,0.190770673437558,0.06472636734699062,0.11944489930547678
L1_cnn,0.3316344482020875,0.12970313002503256,0.6316254243153536,0.36843192142124176,0.3892120990933306,0.30097285599422485,0.025546350008996153
L1_dailycaller,0.10267786397919725,0.19432784382681512,0.05796508470134546,0.24231669699221559,0.15297555810219948,0.25350670299532685,0.25207748812775393
L1_foxnews,0.04481235471180186,0.29027172541442137,0.3034760384413041,0.44328299676242083,0.5136303334059507,0.20123234557282318,-0.091836713789495
L1_newyorktimes,0.29330442214291635,0.1855008242830847,0.20025559876981192,0.5437331336971155,0.4067284846252928,0.6786080144123896,0.0002386582420654967
L1_washingtonpost,0.05000046065309675,0.09861437447935278,0.2284000056045858,0.12458386395207925,0.09994978917981646,0.17507877505000816,0.23298069240246333
L2_abcnews,0.5171415870977796,0.2726251208883039,0.3297913261116813,0.5004101370981503,0.41862377455939986,0.1753454907420492,-0.008113557755226831
L2_breitbart,-0.11076101384900801,0.11015142485094609,0.10335950295632368,0.1303303858968557,0.14208751753620685,0.046404100820682366,0.1437984358249924
L2_cnn,0.3784489335185378,0.15384769371470844,0.6749697766252873,0.3817679271587037,0.37434305107588844,0.3429473267314596,-0.040742139360203676
L2_dailycaller,0.11003871853731972,0.25976009663034516,0.17498942234633127,0.3070248431687034,0.23324380434343844,0.23019573935533694,0.1349282217911687
L2_foxnews,0.2140842945737442,0.3225660199769043,0.2999202962059965,0.587627777830541,0.5537804895781653,0.35173037465266727,-0.05662227226271232
L2_newyorktimes,0.4152627462737103,0.27335590505820445,0.23359193916734813,0.6035088743481584,0.4154378123447514,0.6801726103892892,0.02849740271119512
L2_washingtonpost,0.04271677356995396,0.19754972320978553,0.24147183688079513,0.16298804972767264,0.180721408977697,0.020380628890874376,0.30161806079573034
L3_abcnews,0.5910248879598013,0.22455449532511446,0.46727759107369626,0.46963027431082954,0.3535551762075068,0.32843779996983635,0.0008632321587335311
L3_breitbart,-0.16024797113365863,0.15799990929814411,0.1440080278491316,0.09073477328672794,0.106256535313131,0.05923011761255289,0.03647801326081837
L3_cnn,0.2803971525094453,0.1857790628539272,0.6397694042248709,0.33580268808652713,0.37269805061581024,0.29654210208339693,-0.04171381107869068
L3_dailycaller,0.11158288017606434,0.32275355681828005,0.2803795619177559,0.3409665648162932,0.25563029739306137,0.2294200333083452,0.06536935821403184
L3_foxnews,0.19067116291494668,0.29035798453934536,0.28425809276589703,0.6001331826205425,0.5813186923952914,0.46713484640143466,-0.07779755329605338
L3_newyorktimes,0.3640547549603165,0.39066759680467333,0.15718492222671307,0.6017146073992033,0.3819199706885038,0.6837761990405428,0.10138500622985762
L3_washingtonpost,-0.017610547262371316,0.2587305852025249,0.12599290975650576,0.14293225289792771,0.16354396580272887,-0.06493166645627126,0.39387169473738953
L4_abcnews,0.5664826764039278,0.1464337566555368,0.3845570045098803,0.3366418839701201,0.2882627456932229,0.3180097737963908,-0.019407149503419388
L4_breitbart,-0.1511104747481769,0.18107626607092897,0.06560914938926388,0.06792108825804755,0.04236895752801573,0.08404784102611185,-0.05867447189814256
L4_cnn,0.33746189810607363,0.23235318157569446,0.6174548272319655,0.2742210675671503,0.36328918499833235,0.15594580294405525,-0.04887589135508056
L4_dailycaller,0.1207397595384678,0.3468947512900906,0.35660130904748366,0.39913295231461887,0.25903148900632655,0.2310523078554357,0.06616143759375041
L4_foxnews,0.22797605263595042,0.2204797688616505,0.38818171085431524,0.53430575360046,0.4988889854324191,0.4213867267788521,-0.07535464113637429
L4_newyorktimes,0.3180422684837479,0.4214164045625255,0.22900769362765325,0.638425560364312,0.4094386867955343,0.7274069018756946,0.06385534094170846
L4_washingtonpost,-0.017404117535932843,0.2199863747330617,0.14602812074847987,0.18231421958158242,0.13800226497366783,-0.048202485213485136,0.3761859948872662
L5_abcnews,0.5613259129050175,0.19926273602806943,0.41283874510637214,0.4522352052739315,0.4157497016887102,0.2895845363620259,-0.11579902808306239
L5_breitbart,-0.1386420107513553,0.2681777046920269,0.031112764073562425,0.08757730028382527,0.07187364478263776,0.16190499713271275,-0.06461889963269672
L5_cnn,0.26296804153095327,0.20051216178425843,0.519435429141275,0.20757139872486358,0.26990779617891536,0.0855918880309302,0.06683159656995614
L5_dailycaller,0.09005370746179751,0.3769200971582075,0.35805420322517034,0.4351826052801762,0.3374639615792184,0.2651689852754076,0.007509973850226726
L5_foxnews,0.19945042595083734,0.14412695026120498,0.3329549959665486,0.42315128109109623,0.4994775861734637,0.254565639398212,-0.13044444137019925
L5_newyorktimes,0.4059444075695808,0.4746873824907622,0.3435728340351416,0.7754090768667795,0.608257902838227,0.784063420647907,0.0061432074622719745
L5_washingtonpost,-0.08926634844455976,0.1280332177275394,0.12263611099356941,0.0660037645718807,0.05157078063791871,-0.13284179628225637,0.42411484749274514
L6_abcnews,0.5860469360541636,0.19313293857661068,0.3438439012419934,0.4242919715462678,0.4044383452583517,0.19095657898994886,-0.1432471710503616
L6_breitbart,-0.15069332042562095,0.32301719243074933,0.025724236110448218,0.11377109869947771,0.1378632180772625,0.19542227999587702,-0.07275348231872514
L6_cnn,0.26841471923089233,0.15911541864071468,0.5644059609278973,0.26411380605993473,0.32377051400778323,0.14448200959016957,0.061423379547186664
L6_dailycaller,0.13302776407164701,0.3469687782424636,0.3042408389126458,0.4544034344025792,0.36770783088941605,0.18827986891332826,-0.012816770987137278
L6_foxnews,0.16694202775699502,0.17012016235035543,0.23153432477130034,0.27546766111466503,0.5027074834579469,0.1844012512189097,-0.1198491406869347
L6_newyorktimes,0.3662459280788631,0.4186111424477533,0.2848301237124044,0.7538839232536239,0.578772031364274,0.8364242102002974,-0.012510552964391021
L6_washingtonpost,-0.11005053038163887,0.11182358740423785,0.07012152694162195,0.021049017398832956,-0.014015091400765645,-0.04730183597174749,0.502072689075609
L7_abcnews,0.59956385089604,0.22942863045484513,0.24483618280642033,0.39759560836946606,0.344180181702227,0.33935713286174607,-0.12968201550598832
L7_breitbart,-0.1510314348105268,0.3845884509235171,0.11918115628284613,0.1764913055387852,0.16532740294977025,0.2382583618991184,-0.023240895607543586
L7_cnn,0.21539884364785192,0.14936223545536145,0.5366221688062164,0.2678436493467331,0.3898279021574603,0.1821389120674765,0.0222993609705027
L7_dailycaller,0.15766405890680346,0.3880595440222373,0.29295552714775963,0.48009608083237976,0.37558354034852975,0.1695842067523082,-0.004266149846644404
L7_foxnews,-0.004805573457924708,0.28789424760794263,0.15882099192734267,0.3485433998625739,0.5627180818624082,0.2843240543069074,-0.12194681573149485
L7_newyorktimes,0.3367901979870139,0.3764198192807307,0.15403327995232333,0.725122367784959,0.6086162616354884,0.8430337791850944,-0.09122970143502641
L7_washingtonpost,-0.02813908910264343,0.11227233258303405,0.10214573279646112,0.028794257846170585,0.00489301243598719,-0.00043950247027695104,0.5329017613423489
L8_abcnews,0.6013162068618083,0.2619838552984848,0.18913235466115663,0.4012233245457321,0.3656054200634447,0.39556562121812766,-0.1502834749772288
L8_breitbart,-0.12865798725637312,0.47525379601284184,0.051686187403313835,0.23240167769732986,0.19253056708879154,0.18390246634065374,-0.02341712067312201
L8_cnn,0.07914836504358234,0.04793052884007594,0.5951134263760179,0.16513591500136587,0.2862102330022464,0.12736770766271874,-0.06066186395344812
L8_dailycaller,0.1051949657824153,0.43927420070959,0.22385968980826937,0.5349304420732086,0.3927273677637557,0.1616402254129322,-0.08638832811852967
