source,abcnews,breitbart,cnn,foxnews,newyorktimes,washingtonpost
L1_abcnews,-0.03356065861762537,-0.14518295331942327,0.053623868954562136,0.3072957046710797,-0.1755640145822646,-0.10453789289554595
L1_breitbart,0.05962909370833515,0.12068687597215137,-0.162451380328711,-0.004755519204139802,0.09403872259352429,0.1369136587902159
L1_cnn,0.10246873145301924,-0.1507186521645025,0.0002991059189022147,0.10138302305411719,0.204718304493075,0.04495733732555269
L1_foxnews,0.06210598120585653,-0.19989978491162877,0.11840064046209328,0.7048736331590689,-0.28453349740802025,0.36806849183306983
L1_newyorktimes,0.23360534645547673,0.09682563496080467,-0.11474792672594142,-0.2849568905289079,0.31754704358592317,0.04346291733793262
L1_washingtonpost,0.1130092016326981,-0.22611308628054883,0.16550179635823406,-0.10241449162460267,0.1953772076744401,0.08314856466262209
L2_abcnews,-0.10622137674404668,-0.14379983780939676,0.1095122138822259,0.23023310949270565,-0.17460941823555892,-0.11781769374800902
L2_breitbart,0.06422840829621204,0.19542598658102067,-0.21304911187752798,-0.013154717243278897,0.10872617534715658,0.1306837346690898
L2_cnn,0.1846320309544294,-0.037620783817224356,-0.031323653826513746,0.2839347524064506,0.017154523372153858,0.1220746279924315
L2_foxnews,-0.013020220831105182,-0.16462359166211338,0.16319466536617155,0.6183663168011042,-0.24698276322300064,0.32894545980967155
L2_newyorktimes,0.2567854810925778,0.15173916590587536,-0.048046398394164,-0.2913288726045562,0.361536996647964,0.0965474799495131
L2_washingtonpost,-0.005690537150112554,-0.34246274412082733,0.2469476242788119,-0.16385878484723948,0.15781137503784784,0.10945901484284194
L3_abcnews,-0.14936548282821024,-0.05835246492391134,0.1267398112839244,0.11705866901303176,-0.11550635783742372,-0.1455041864312322
L3_breitbart,0.11450744434795454,0.26530610380085157,-0.2656321606793257,0.07239105617857629,0.07226361083242466,0.12223677393234327
L3_cnn,0.0895724712217053,0.08692437599349347,-0.1467624607892861,0.1129622357778089,-0.06541751011534731,0.2271970869317526
L3_foxnews,0.1168662888022533,-0.15865532292184978,0.166720639906247,0.5992363014012964,-0.11590776613424249,0.31174896358118803
L3_newyorktimes,0.2635784945350209,0.17196586673900843,-0.009651909213270818,-0.4047342882434693,0.4017886351372329,0.006157752587321949
L3_washingtonpost,-0.015285669091404596,-0.438443800882384,0.26261165466803604,-0.07254301770500278,0.19161080078933138,0.1094611145379749
L4_abcnews,-0.18132958541231162,0.0026021984713435454,0.10632403048451954,0.061547508985064336,-0.03803376189929528,-0.13582115716082122
L4_breitbart,0.17580964106699068,0.33052356235213654,-0.2055803892607104,0.020340080373720322,0.04477816998822126,0.1421532294593014
L4_cnn,0.0038949147354062933,0.0560197933087972,-0.16208404691251982,-0.07028011324738113,-0.011040015247406998,0.1816322045281342
L4_foxnews,0.16606527096058898,-0.14535910676328664,0.22641673912368987,0.5910953952339197,0.02425634355590283,0.23332895410319707
L4_newyorktimes,0.315524370136935,0.18483937305716414,-0.1430083551996617,-0.36740058393609304,0.47155387363598544,-0.06539314605057904
L4_washingtonpost,-0.0215034476918731,-0.49986150145997466,0.26946319390376294,0.003890993557137131,0.18379165522576577,0.08480916688016539
L5_abcnews,-0.16097594903830867,0.03846983972320661,0.07304740042437248,0.0035612259999964206,0.0016505154796716615,-0.0946533147667442
L5_breitbart,0.2227921101423862,0.4419243528259676,-0.3302650925491728,0.014655532018910152,0.019622416673407805,0.067101305712997
L5_cnn,-0.13562650092131526,0.08342011209876794,-0.17971987716859486,-0.047991094845191554,-0.14307481672269073,0.1415275919613122
L5_foxnews,0.22760608224085876,-0.21800107291508822,0.17727612574352744,0.5809144386421113,0.18797015447424004,0.20055387575508438
L5_newyorktimes,0.3319548655147362,0.0995271420536387,-0.0073202217058664035,-0.37618846979363546,0.5873354172517007,-0.07485459066842162
L5_washingtonpost,-0.09009467482936674,-0.5383100747041468,0.19935041900267944,0.0062885285655541485,0.07626363586889269,0.1501572158043677
L6_abcnews,-0.04102438879243466,0.08470030462993097,0.012547733756349459,-0.050447345965002756,-0.0035970380564996607,-0.11439399022783432
L6_breitbart,0.2244446995899336,0.5571230236057076,-0.3996935227413693,-0.033866623335132934,0.006726903205995142,0.040666972437997446
L6_cnn,-0.12697890094811332,0.05337996061205521,-0.20204914796428505,0.05109716586625625,-0.2802794068591017,0.05108049093516728
L6_foxnews,0.4540792986281423,-0.19600695622942552,0.140661851077214,0.6533088255083793,0.22020942011825262,0.10234995163114767
L6_newyorktimes,0.28942600873089214,-0.04883022481586485,0.09287157230326835,-0.4458574711151295,0.5628456114606801,-0.032559765955456545
L6_washingtonpost,-0.14796127776489684,-0.5916397694970021,0.23004332807728725,0.0475739394611728,0.009624569796660666,0.22527079804738784
L7_abcnews,0.06517888213300946,0.11209031705532055,-0.0005491310493130023,-0.08246263030258777,-0.028027133088418397,-0.11690384836445541
L7_breitbart,0.15728620352748215,0.6666449274243589,-0.44350252907514387,-0.06175674329791947,-0.07192268975569183,-0.011579107418967336
L7_cnn,-0.0960714325342214,0.1830080845059242,-0.1830102068504118,0.14685824121169958,-0.32304227929281865,-0.10060035486469791
L7_foxnews,0.4825278979341196,-0.07257605432639042,0.07168936662377492,0.6357694457697187,0.2434444641201811,0.07824757295814418
L7_newyorktimes,0.34869766798360147,-0.13390802450847047,0.08005150575918957,-0.3298855457795956,0.5544295435899714,0.031012173569952683
L7_washingtonpost,-0.061238875999557636,-0.4900202209271228,0.08536413311839926,0.18417853964973127,-0.014226820141692699,0.16105043972867927
L8_abcnews,0.14352163670715085,0.16779383780216858,0.0638808986831043,-0.04689095464693162,-0.06058749939632548,-0.11738046592154947
