source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.3167460174413993,0.12118794940950281,0.059326947033053176,0.12990317611854493,0.09238149996146926,0.1191857320259563,0.20942494779545928
L1_breitbart,0.19485015472549677,0.32622716999725276,-0.02350215375384046,0.15946516150298315,0.05917733726439497,0.029625072783808746,0.12872313891620216
L1_cnn,0.06409454730023936,-0.04578927233676738,0.3767756468001411,0.0756793143576179,0.18294383172629938,0.10414082146770327,0.12816988806899748
L1_dailycaller,0.12459797134638342,0.08369778638282319,0.1094152231116602,0.3045955218367474,0.10699976664450248,0.11347433242283414,0.05628750064615582
L1_foxnews,0.14205333753057306,0.04282882218506883,0.14688861095200526,0.2049326717286992,0.5251086694204243,0.1334573562564661,0.1627245829884857
L1_newyorktimes,0.09770139647660067,0.011354829063701319,0.021946575236251032,0.14701113732573115,0.13343814558631517,0.3730370583361739,0.049443895052606955
L1_washingtonpost,0.1661248106249532,0.1791342882237055,0.052657250351706535,0.14077786597859188,0.12572339514561578,0.05699534400081153,0.42750940354198946
L2_abcnews,0.3626642789728062,0.12380761771770336,0.051439599153746844,0.12781443958706262,0.11338052931592293,0.11635468308782441,0.2329571515203019
L2_breitbart,0.20625570478602018,0.42488392505191735,-0.025876786372471854,0.18880882451457404,0.06348896468285725,0.01402016383966513,0.15225627087796872
L2_cnn,0.0839518782178174,-0.04051658257405444,0.41545825657427565,0.09963404281698851,0.19237096294901898,0.11869015162517214,0.12234333793891718
L2_dailycaller,0.1665009908357492,0.14002365005518433,0.0938158554026772,0.41208493198414775,0.11149560774338395,0.12074050221664698,0.07788162695326475
L2_foxnews,0.16151573263291757,0.06403750664623001,0.16278239150295992,0.1902358899854296,0.5978474244739729,0.1558762717180365,0.1623657985669941
L2_newyorktimes,0.13297157967860448,0.041632211162514955,0.012960743574760814,0.2031959834750207,0.17006542968823748,0.44542481288651636,0.08443643413902036
L2_washingtonpost,0.19288304457057037,0.21077138330136397,0.07314844804272182,0.1717348001411228,0.14955418513278732,0.09872688833649411,0.5219742102802383
L3_abcnews,0.4005565300067573,0.12873893336308317,0.04572836935957155,0.12318449950038252,0.12822739687354057,0.10833696156057337,0.2509381965192441
L3_breitbart,0.20917919778407018,0.47753112621344235,-0.023210538163728804,0.20653062588617585,0.0504632697942624,0.006354832316022882,0.1630868006430863
L3_cnn,0.12019381135437186,-0.016723573244695453,0.4223647767397877,0.13953202211790308,0.201451881058736,0.12301171722016335,0.15972259087038507
L3_dailycaller,0.20764729641715365,0.17801273839697312,0.10030621748173049,0.500929174011888,0.13717991168515567,0.113973858701475,0.0925824972555296
L3_foxnews,0.20374005790451954,0.07099881807473807,0.15904636738139852,0.19471329939643237,0.622766064614197,0.16953647147360265,0.18405596368154692
L3_newyorktimes,0.15668415577189995,0.06830937662528269,0.002722506377226183,0.243889475298862,0.17618800218432426,0.5009136611113124,0.09711629179299114
L3_washingtonpost,0.19759935188581132,0.22439632234728032,0.0792607958123394,0.19608062459031383,0.16736324810765152,0.11761506914636394,0.5716861131793131
L4_abcnews,0.43448686589314345,0.14221593095528987,0.03846468452877951,0.11804888844133174,0.12148236196805148,0.10470561266530741,0.2752699763206647
L4_breitbart,0.20387155376653524,0.5060742290183485,-0.03297899746132729,0.18230883328646527,0.032982740524128015,0.020335638542917377,0.165418789383726
L4_cnn,0.12863425793948502,0.013567098690922473,0.4129645316299391,0.1356710967818942,0.22077212837501425,0.0894481904585205,0.1764950984323032
L4_dailycaller,0.24259379281978333,0.21852123407758053,0.10367767223601496,0.563090957780176,0.13691561691729887,0.11964216575720973,0.12501815898274735
L4_foxnews,0.22293486207890842,0.09474230718551396,0.17421246513632754,0.21043202714955486,0.6421025734178843,0.14597304501217104,0.18893122148414268
L4_newyorktimes,0.1562040211639284,0.06411431746653787,0.0018133008598688616,0.26137626247685175,0.1878694664343744,0.5431245572522533,0.10187798029545792
L4_washingtonpost,0.19563500485744884,0.23754192244172492,0.06617332820704847,0.20202368699173162,0.19488378279900237,0.11965287526393732,0.5920939835244269
L5_abcnews,0.44996165377750913,0.14306038785394243,0.028747402437986045,0.10962216357212275,0.10325160757293371,0.09325804479327843,0.2752739595878126
L5_breitbart,0.18115611197886747,0.5356631132969247,-0.0318427710222965,0.17146046811699356,0.022546022356448592,0.037382359333109655,0.1592509486725385
L5_cnn,0.14616683327117036,0.041300030399850717,0.43115970292537953,0.12764088026992826,0.2165011258575621,0.07284631706387648,0.19546606652755025
L5_dailycaller,0.2693633998703401,0.24829917259791282,0.09803828998317032,0.6050079889313617,0.13556138155376485,0.1271122323064812,0.16869595566259948
L5_foxnews,0.24627895329546465,0.1062725938435909,0.1804171820339845,0.2215735546364855,0.6455863659165525,0.12903536080725753,0.22149558253279875
L5_newyorktimes,0.1537436634109641,0.051772486653460924,0.015067838302318027,0.275213684214636,0.20326680538775696,0.5707918586300296,0.10403524744448757
L5_washingtonpost,0.21534100324391323,0.23845867195963913,0.062263582557758775,0.2391571195967031,0.1835355142998003,0.12117034461612698,0.6156288187357638
L6_abcnews,0.47753403726994076,0.1420464864105798,0.01405240709070226,0.1035099381793185,0.08930767929047367,0.08976897823525555,0.25690156041876433
L6_breitbart,0.16214241445763838,0.5694899774622864,-0.03988225927258368,0.15878130257491338,0.0021022826493005335,0.031556251865298035,0.14727926173444372
L6_cnn,0.14788539063333922,0.06720677723011591,0.43456960806379824,0.13364956992259394,0.18535374077279262,0.05007838900560395,0.2260710752283894
L6_dailycaller,0.28752031010709117,0.2599873967674842,0.0900257016849975,0.6469031487729731,0.13856117257530282,0.13205023253135761,0.20786917518428658
L6_foxnews,0.24064868932067518,0.10274596084627642,0.15773668010529865,0.20543918080608167,0.6202618813561955,0.11884636853264928,0.2297174178437735
L6_newyorktimes,0.1642435049669813,0.030315646985450178,0.024125384390272613,0.22620908991224128,0.2061084242043063,0.5963955203649636,0.08400922897787576
L6_washingtonpost,0.22115824913425036,0.2639698520543733,0.06907086818786794,0.26830609768103403,0.17074551451615214,0.09664255117459511,0.6213437545406661
L7_abcnews,0.48025559762125425,0.138726723788239,0.013184742683020848,0.08187376151428297,0.0639203202035843,0.0811699012489464,0.20708581622566305
L7_breitbart,0.17413427392758682,0.5835396236986884,-0.040783221800941946,0.1514094513351502,0.014795765571997936,0.025057229491031785,0.15394813909882687
L7_cnn,0.13323001677154522,0.08030357862162306,0.4257179882274152,0.14766549192137218,0.14903000673165062,0.030438132098130344,0.2375123243793291
L7_dailycaller,0.28319242536698963,0.2585483359849672,0.09708060748693109,0.6769300596250276,0.1576176826809442,0.13660464864704697,0.2499841131738942
L7_foxnews,0.23758766327540382,0.12352694105940189,0.15247579498911634,0.20040854668950275,0.6358121873015599,0.09665564519429191,0.2290406621141251
L7_newyorktimes,0.13901699476363,0.0010936068750720355,1.7641044755409837e-05,0.1621875422571457,0.18859217224881875,0.6228498141309315,0.042463515391008864
L7_washingtonpost,0.1974211203252981,0.30385679009619654,0.09178692835950855,0.2836935277243378,0.1772072220564752,0.07180702743914263,0.6359310525506932
L8_abcnews,0.4807839689555641,0.12229060073692007,0.0005578924335819205,0.052118585058983584,0.06242563300516652,0.08621636052688371,0.1855472316140067
L8_breitbart,0.20521600644722993,0.5860972891719021,-0.030646022937095573,0.14955714409705292,0.014924629771701508,0.023822758210439395,0.15670780829637926
L8_cnn,0.14081355598166823,0.07181097543327142,0.4220133583959894,0.15490086279268364,0.16540632688447993,0.030182255754085657,0.23048599594475103
L8_dailycaller,0.28514226190326186,0.25891515171306895,0.1188234924149849,0.7009399530400339,0.16627996878348675,0.12965241765227586,0.28074335018744334
L8_foxnews,0.2516614351877939,0.12472796627535417,0.1375764514987916,0.1661569371510844,0.6312891053966949,0.07150082500543577,0.18913888972100637
L8_newyorktimes,0.13380041926688108,-0.03042143919475294,0.018743355213994645,0.10644171313733097,0.19933695729914216,0.6412759740886489,0.018676567114141434
L8_washingtonpost,0.18401371273532513,0.29738169156522465,0.09718857921896325,0.26385577029430796,0.1860652492415414,0.05017917121186446,0.6170010170447082
L9_abcnews,0.4901515216740018,0.14666006262296333,0.0037823247271400935,0.06566275593129092,0.0999609463732042,0.10205795982454835,0.19160527643858827
L9_breitbart,0.22413389563707534,0.5901429468446003,-0.018344216729192526,0.11968634849364172,0.014072563204774353,0.02678342823477994,0.1450103738382455
L9_cnn,0.12042879075212887,0.054179971863692014,0.4369475893259173,0.13465125851262102,0.11760395689189634,0.04120091545511621,0.1753048809563911
L9_dailycaller,0.2802487533278555,0.2683331614566915,0.1304583897022901,0.7127713785673027,0.16891019431488877,0.12079756623980108,0.2982531796233912
L9_foxnews,0.27045372275301754,0.15149458721212658,0.12494926889189914,0.12807278698726957,0.6262025264016896,0.07570393938037812,0.1668458213431617
L9_newyorktimes,0.14068765083346405,-0.025137571464739147,0.016338459484869266,0.07118372728152338,0.17236232252189485,0.646876048172585,0.019633445575774754
L9_washingtonpost,0.18915631432628152,0.2818135398236921,0.08443450958940862,0.23142709759176944,0.17505528995636,0.04872997895776296,0.6129178735905726
L10_abcnews,0.5020044184002325,0.16892158865032855,-0.006715352534707307,0.07732148180862836,0.10684469990673824,0.10432893654810169,0.1928533438792571
L10_breitbart,0.24714603972675606,0.602074716279577,-0.018806520410078322,0.11563130002888317,0.028531897510135705,0.03496076412234627,0.1376122304830848
L10_cnn,0.10494146133655281,0.04995053210664282,0.44597742074982544,0.09911139949635259,0.07862397180661058,0.04165036278198433,0.11550122757126018
L10_dailycaller,0.270449212520142,0.2803298844574703,0.1478714684866656,0.7308603858961734,0.16780592253414695,0.11898604669705704,0.31489390862576205
L10_foxnews,0.2619923473181318,0.16099512687208364,0.12520677821259477,0.10356265831597891,0.623776690698432,0.10581776416529447,0.1462332415220634
L10_newyorktimes,0.1491929918605506,-0.002369129198779676,0.025266449546856754,0.06516533364658485,0.1529072599902474,0.6420878821915474,0.03178758909743454
L10_washingtonpost,0.17065643116829876,0.2384222530658887,0.08922188699533697,0.19179083010656658,0.16442832716959452,0.06549009743161145,0.60514104517105
L11_abcnews,0.5093099269506475,0.1830816913291141,-0.020019290666328914,0.08387462456271512,0.09315878513408218,0.0956999767177149,0.18131934833390442
L11_breitbart,0.2652591220421282,0.6144202216915672,-0.025617473714149748,0.11644886813537556,0.03605982781247704,0.05078060517553441,0.1403644333943056
L11_cnn,0.07720620388594582,0.03137610549894543,0.44125198868998416,0.07500769362770272,0.09067230763068819,0.040516947077531146,0.08954435544855661
L11_dailycaller,0.26150693722805546,0.28948746863973385,0.15707941415180263,0.749949398931738,0.17350428886659763,0.12164197383752556,0.31967324854071455
L11_foxnews,0.24576020497054993,0.16388895592449992,0.1006743806227991,0.09759993419754058,0.638542581190148,0.10589393797021916,0.14752405741841576
L11_newyorktimes,0.1535119783347793,0.016704775196273947,0.053281593084167966,0.07739006741229863,0.13328305385588943,0.6396886501030813,0.035774902616285395
L11_washingtonpost,0.15719432809108583,0.20796469334743534,0.10003097957074304,0.16656916632965402,0.17637384245376192,0.0689732919634927,0.5934253231278228
L12_abcnews,0.5163103101647174,0.20560801879589496,-0.02338499539323528,0.09690066172161889,0.0688315917542038,0.08213844785038128,0.16527765226878763
L12_breitbart,0.28930371879256767,0.6183230454945345,-0.03251665272457627,0.11664285803363358,0.0445275750585561,0.05978418969249213,0.15111859145833734
L12_cnn,0.057956627567171445,0.025401213232195734,0.4325179355938818,0.060621101268404795,0.08460464668698535,0.03433105335175625,0.10055335484449529
L12_dailycaller,0.2606712316773155,0.2904012102954307,0.17047483637123395,0.755584741505897,0.17589842245307097,0.12256924576825604,0.3244855106156096
L12_foxnews,0.22046431987577053,0.18353010057217878,0.10721870999754098,0.11592377816201851,0.6392100453462172,0.10642527163624947,0.14142442532379274
L12_newyorktimes,0.16035550847787744,0.03357423760916366,0.10305118295047896,0.09104914325674876,0.12294693602521642,0.6280293559629535,0.05556672833502176
L12_washingtonpost,0.14886851860396322,0.20807367538041663,0.106138789870231,0.1671165040416063,0.1770374860295367,0.056448867618887726,0.5936123311875535
