source,abcnews,breitbart,cnn,dailycaller,foxnews,washingtonpost
L1_abcnews,0.7734946748722777,0.35440817526235774,0.2629223730444659,0.3511889008435442,0.6014577516325289,0.2769838761146063
L1_breitbart,0.09946565742282067,0.48390212421286616,0.3027661213196398,0.21223319625519305,0.22961884466449517,0.1721189729673293
L1_cnn,0.17923064593959406,0.3875128668517706,0.48666589654590636,0.25693901814360615,0.2417055830556433,0.22867186466955794
L1_dailycaller,0.330357656996648,0.4537056182400983,0.5560712882677707,0.6536305908205893,0.5918220115474613,0.42572062298512936
L1_foxnews,0.23169543967569764,0.6823441703675306,0.5985586334305384,0.6116960278992841,0.7115628121211027,0.7245507873079509
L1_washingtonpost,0.009060560142236274,0.6465614166122374,0.7521806934234666,0.7561324146419242,0.5828793283828898,0.7857743620441895
L2_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L2_breitbart,0.1089649363148121,0.5689386219889081,0.3864739992712679,0.32236379261470016,0.26282895860421573,0.3277090464220579
L2_cnn,0.26781157996070915,0.5451950945491075,0.6780714305337823,0.4180523875691079,0.4253717162177878,0.3895454583541857
L2_dailycaller,0.2994950229953364,0.5161056575380315,0.6599221739262408,0.7006450591541584,0.5136120398115501,0.4730740289906007
L2_foxnews,0.36776177639194657,0.7348749226357699,0.6600140379823999,0.764306594855514,0.8507420327985704,0.6945217048160289
L2_washingtonpost,0.4580852719924428,0.6845912840725963,0.7632397287476693,0.7537209178725516,0.6093330924172687,0.8015494983577496
L3_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L3_breitbart,0.11600331843514343,0.6516428103025345,0.4380871230791108,0.3950688061922763,0.28766883610284166,0.39348045476232163
L3_cnn,0.21026215088767913,0.5445440640846267,0.7408905510596898,0.5212599274502865,0.38867882939069137,0.45894836369570313
L3_dailycaller,-0.04336379176742923,0.4903929208721946,0.719433514654571,0.6908920479066603,0.24988900895380817,0.5278386795859442
L3_foxnews,0.6585328947906512,0.718036076888925,0.5884770353561476,0.7469496838823754,0.9341142401012513,0.6800606195310381
L3_washingtonpost,0.457201299522688,0.7690478343250873,0.8383925093859652,0.8085131088195531,0.6724777553991051,0.9061096651267027
L4_abcnews,1.0,0.450011885247281,0.31603889227167226,0.4221373400655001,0.7662874479864696,0.3329411505409234
L4_breitbart,0.09044093870388671,0.6440336930300635,0.3293182524230319,0.3171836092772517,0.34130976882846914,0.4196334698463762
L4_cnn,0.20810269362300515,0.5999884495975386,0.8095684916559582,0.606457867425408,0.35880083601759827,0.5173731387756492
L4_dailycaller,-0.04814071411417391,0.567489874862857,0.8046806089632066,0.7563535716693279,0.23036423838253794,0.6372963141461055
L4_foxnews,0.8027308227796438,0.7150327082523842,0.5830609185341523,0.7402207478248266,0.9732733518852862,0.6426821669794772
L4_washingtonpost,0.17517059224785791,0.7007118668977839,0.8470352105977188,0.7649265260545128,0.45671620520445544,0.928437857394075
