source,newyorktimes,washingtonpost
L1_newyorktimes,0.18738138068305696,0.2153671566058349
L1_washingtonpost,-0.021533785669019114,-0.11153722185813125
L2_newyorktimes,0.14906603901227547,0.24125253493030244
L2_washingtonpost,-0.00013926840667935784,-0.28268006044209054
L3_newyorktimes,0.34593150754892205,0.1807014843519784
L3_washingtonpost,-0.05929760307812406,-0.4195218479908394
L4_newyorktimes,0.21988199812781234,0.21199369636554727
L4_washingtonpost,-0.026638459760112226,-0.5664303151064463
L5_newyorktimes,0.15101306386143334,0.3070318691242854
L5_washingtonpost,-0.11376323549022284,-0.6644225630027873
L6_newyorktimes,0.004650390237705338,0.5124945559020597
L6_washingtonpost,-0.17949139774205736,-0.7463355698735621
L7_newyorktimes,-0.18660757581484672,0.46939957907066815
L7_washingtonpost,-0.15065590084423652,-0.6984738871019888
L8_newyorktimes,-0.2683520631033101,0.48241538874472784
L8_washingtonpost,-0.21730986477139774,-0.6421265402237428
L9_newyorktimes,-0.3582457017302096,0.19644504919825298
L9_washingtonpost,-0.3469221662413163,-0.698973283221187
L10_newyorktimes,-0.3715857582498922,0.27512440782973435
L10_washingtonpost,-0.27136753983568757,-0.7017620497888617
L11_newyorktimes,-0.39434847781314103,0.271001572890573
L11_washingtonpost,-0.3619736433150142,-0.7551629985030657
L12_newyorktimes,-0.3570699533064224,0.17685157089623105
L12_washingtonpost,-0.3084529840948692,-0.7004342490792912
