source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.051940490170357956,0.013965427462199408,0.06293127517985467,-0.010651673908817492,0.15690236729761092,0.18139383392971953,0.07808957275768723
L1_breitbart,0.12490899787783864,0.2330114103592055,-0.1748864665101354,-0.03734068669695022,0.09053918637524298,0.0026851230506421413,0.02132201876518496
L1_cnn,0.06281809175764233,-0.15443760942096085,0.225792901738889,-0.1789301204460443,-0.00898606027897471,0.08762059102492288,0.03074892206296653
L1_dailycaller,-0.29598874892184107,0.07921943708776887,-0.33793739155254304,0.31277498356499905,-0.09722545522101314,-0.2446785754742448,-0.1599619470139252
L1_foxnews,-0.007637813619377302,0.25989071141650677,0.08161016803132784,-0.328681608003413,0.5123863694765305,0.24865632288411477,0.1709382700675147
L1_newyorktimes,-0.1075302654344067,0.05663234762665355,-0.051484394623990334,0.0038234352804589673,-0.09114803714612688,0.013697394224457022,-0.4113049507545952
L1_washingtonpost,0.11395991910223804,0.06910796812133574,-0.08962690571270565,-0.25864048337467305,0.1066783894305933,-0.08502955033122463,0.026512873144462067
L2_abcnews,-0.05342720650998487,0.0897391590777807,-0.0550414043496674,-0.03444327072443528,0.1923600850922404,0.08017878835863804,0.1434238141129705
L2_breitbart,0.18766161063402415,0.30281815597867695,-0.2427351411507282,-0.0838510867769604,0.14919338192438253,0.03435441531841835,0.12010692914167223
L2_cnn,-0.04610013400051034,-0.1422109465187674,0.13616177122783774,-0.07375844994200269,-0.03427256069091547,-0.11495075206086137,0.1432876534988367
L2_dailycaller,-0.2917322776781929,0.06757275044810068,-0.2309098282331599,0.3438331336348842,-0.0931726101445533,-0.26509230041071563,-0.14124894759448361
L2_foxnews,0.06257832830304307,0.3347133370289544,0.008963038185005585,-0.25440983466920947,0.48638162158185855,0.2470194263040096,0.22470418115913532
L2_newyorktimes,-0.15562905113443512,0.05251460262731976,-0.06631337597515523,0.03971818610987606,-0.2128129964741961,0.020749024575402758,-0.2441628897443926
L2_washingtonpost,0.18693005491399017,-0.0656056141123352,-0.049286963234716416,-0.28746778728584993,-0.12745747130142637,-0.11605029846752679,-0.060304181203508604
L3_abcnews,-0.052054411762611795,0.13029729729850892,-0.056786554128458726,-0.12936654253904098,0.25702298276485736,0.06982561198104907,0.18389049587126208
L3_breitbart,0.23707177645490404,0.30189710266889114,-0.2218216369256896,-0.0739398341399707,0.17893872780922793,0.11658889275939188,0.15187371680260328
L3_cnn,-0.17098261656741237,-0.14832194630536863,0.15207800349709943,0.15009842531669843,-0.14517336274937256,-0.138488902317975,0.09119578328729895
L3_dailycaller,-0.32425216078629987,0.005625855767158417,-0.2512743367820791,0.3613697898995249,-0.19456716684398756,-0.314474547134195,-0.11377268606957024
L3_foxnews,0.2305769066538949,0.3238264895213233,-0.0623056850291914,-0.29411664090417344,0.41556784029571264,0.12023863095986213,0.10358303431223974
L3_newyorktimes,-0.041306657167781084,0.14427863407289804,0.016416559872744558,0.10784132112644375,-0.15526585620999508,0.01733317518866995,-0.09465514740460657
L3_washingtonpost,-0.013299766709472216,-0.09414978224032498,0.030997733388116407,-0.15330219506574452,-0.10630075051347272,-0.16491394775550727,-0.00881545274530818
L4_abcnews,0.038437066208281405,0.23283254867957917,0.007305820745449102,-0.243691069850677,0.3403929210909786,0.16583190815283674,0.20407879299598689
L4_breitbart,0.30836906924533536,0.3383694084655734,-0.2870613852556249,-0.10343366178682468,0.2762121626445038,0.1635006197161493,0.253917815353702
L4_cnn,-0.17029356048316174,-0.23729158946814055,0.3598171401826428,0.13646315860263347,-0.17505463963727247,-0.1358658205576689,-0.18119624188532557
L4_dailycaller,-0.36493551691114157,-0.07104263244977695,-0.22578356158109514,0.3644825223057465,-0.2400018825946668,-0.3937236791430156,-0.11227182811878152
L4_foxnews,0.260484373936761,0.35932054859221096,-0.12638086448228314,-0.14003827830666218,0.3946028485713605,0.008136604986010834,0.15056051567323922
L4_newyorktimes,0.021443599891760867,0.20634605719882396,-0.0994377015640609,0.15498118777844078,-0.09362578730937494,0.04056286186589662,-0.10989671343840851
L4_washingtonpost,-0.06929478190739062,-0.054842018329681656,-0.042140767420354955,0.02147204934544977,-0.10576566701580133,-0.2848353094029798,0.05717996333628079
L5_abcnews,0.14632890931707895,0.3078431952705204,0.08564015185770954,-0.32792955099052645,0.32125498893660226,0.3203145677004516,0.11751182019152544
L5_breitbart,0.4219003518938746,0.3212659191159353,-0.2939950212042595,-0.19712961181287805,0.37131170262809615,0.20558854235007057,0.3191886206136263
L5_cnn,-0.10411435503854155,-0.2761690864864135,0.24325483748636959,0.09525904946395825,-0.15577207487548625,-0.17693794819917497,-0.09434723059965958
L5_dailycaller,-0.3548950597383284,-0.14417251462356998,-0.2294269470089109,0.42797555232074563,-0.31650181599369537,-0.43213335610343084,-0.06952079807551391
L5_foxnews,0.2541341662983731,0.2681421720303811,-0.04116565070833393,-0.07215429675124169,0.1925914916891932,0.10109747919671352,-0.05781740592045167
L5_newyorktimes,0.008678048681390866,0.2032527276161126,-0.239085991132122,0.15062531114027505,-0.01897418588523834,0.05028561411407853,0.01031546678891543
