source,newyorktimes,washingtonpost
L1_newyorktimes,-0.09866071428571432,0.14186921546144834
L1_washingtonpost,0.41183287211994807,0.599057941251544
L2_newyorktimes,0.07363235931647479,0.18297019036829046
L2_washingtonpost,0.5137988288786726,0.7928590384567169
L3_newyorktimes,0.10274243789050688,0.278381166926807
L3_washingtonpost,0.4055825141678244,0.7296177619262336
L4_newyorktimes,0.21512553788139172,0.4160143912936791
L4_washingtonpost,0.2925547255034963,0.6714954849830186
L5_newyorktimes,0.1160872727423834,0.426391547912091
L5_washingtonpost,0.3694543338021731,0.4470049394718957
L6_newyorktimes,0.16895552609846778,0.4848047543731586
L6_washingtonpost,0.44290824614850316,0.3692803337065128
L7_newyorktimes,0.2708613540544435,0.4605610376307407
L7_washingtonpost,0.49670786983623266,0.44766765753906057
L8_newyorktimes,0.3177628294599083,0.4511235885600914
L8_washingtonpost,0.4425581424635487,0.6599919587531037
L9_newyorktimes,0.33327279060789455,0.23863279922177266
L9_washingtonpost,0.31395847109683167,0.5861060697084314
L10_newyorktimes,0.19031337742087537,-0.14619634881690838
L10_washingtonpost,0.21924180294711207,0.522325411800861
L11_newyorktimes,0.0530339202542991,-0.11719755966778488
L11_washingtonpost,0.1513943426523206,0.3894627900145845
L12_newyorktimes,0.11941587262101014,-0.1227454997425773
L12_washingtonpost,0.007062624565781384,0.21195957504323143
