source,newyorktimes,washingtonpost
L1_newyorktimes,-0.12785431593558919,-0.06731353400384743
L1_washingtonpost,0.10980307304957318,0.016030533876251418
L2_newyorktimes,-0.38059564816024183,0.05225239141321266
L2_washingtonpost,-0.14099084263214726,-0.10141743059595583
L3_newyorktimes,-0.474706047976533,0.3794984723336079
L3_washingtonpost,-0.0692693551069885,-0.502904310277173
L4_newyorktimes,-0.5635188388454054,0.141562361059888
L4_washingtonpost,0.13032076718032676,-0.6248779618912771
L5_newyorktimes,-0.4194898492957302,-0.03901789406522339
L5_washingtonpost,0.007740630602493011,-0.4323422824876514
L6_newyorktimes,-0.44971965135308123,0.07396128105075872
L6_washingtonpost,-0.08627440304395703,-0.3443757744435384
L7_newyorktimes,-0.40635981238834773,0.022652359130029037
L7_washingtonpost,-0.018958394923330433,-0.44956330704400027
L8_newyorktimes,-0.4749123277876176,-0.12512424181794427
L8_washingtonpost,-0.06610726903760511,-0.5154580717102436
L9_newyorktimes,-0.4345550847983521,-0.158784202806504
L9_washingtonpost,-0.17482608641518746,-0.43207890828706386
L10_newyorktimes,-0.3658711393045224,-0.2509053820423221
L10_washingtonpost,0.09163112042426043,-0.48881076336603435
L11_newyorktimes,-0.28490031319113573,-0.07995307018828963
L11_washingtonpost,0.21813358021418103,-0.5536300032547398
L12_newyorktimes,-0.1899002422429257,0.15132080268203071
L12_washingtonpost,0.21137141878515944,-0.6268402561265473
