source,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_breitbart,0.693918226063329,0.27661827958745755,0.6174829898045412,0.6465901584176187,0.48004221628121735,0.2603110697473023
L1_cnn,0.2897472471464243,0.6430869479762814,0.5181834697535754,0.22041878151353522,-0.05919394582128089,-0.07278374830159122
L1_dailycaller,0.44707868671156387,0.08120451043202837,0.6458751669406506,0.42753356647241525,0.1380395837267112,0.1263977446515103
L1_foxnews,0.5572097879860125,0.04820642368881792,0.5027366606378971,0.6302191678540217,0.3118126750300269,0.3626704148998184
L1_newyorktimes,0.4432667104977875,-0.050693435346208335,0.39446081227584834,0.48065575589620874,0.2974845976924709,0.0912547154884518
L1_washingtonpost,0.24240815118058745,-0.04924513595895968,0.12639483642878982,0.24848075336163705,0.09347915114955563,0.5198567847067299
L2_breitbart,0.8019566977167452,0.20980967564735672,0.6498548517019921,0.7584358591804232,0.654443515268729,0.3721746624782395
L2_cnn,0.32531408945213003,0.9010224818801367,0.6006991365240772,0.2704499060479901,-0.06397377360182406,-0.07866093349810402
L2_dailycaller,0.47865180210760166,0.16982057957555682,0.7340556192678787,0.4222294733907048,0.16619281454139923,0.02588280318815258
L2_foxnews,0.6614170813382803,0.11414886143542591,0.5397905526902346,0.7426730353015706,0.4348103613064886,0.4585326880536043
L2_newyorktimes,0.6121449165728875,0.1121598524851999,0.5262230444651288,0.6324027742178286,0.41496986501635297,0.21101937807481866
L2_washingtonpost,0.29360689799422623,-0.06562998843559792,0.18383946914613414,0.28908136602582574,0.17549778735586205,0.6350336699587078
L3_breitbart,0.846843749887593,0.06386822650930143,0.6040366647453734,0.8038383482630723,0.7785718108098835,0.43506831207487057
L3_cnn,0.3398192238292104,0.9942613027948304,0.6264477029832216,0.2963741655990339,-0.06611493967975103,-0.08129367052425619
L3_dailycaller,0.5481409246383011,0.3977303372054936,0.8253950779187799,0.4994972753762725,0.2002541288133478,0.04351748679021891
L3_foxnews,0.7145279362047304,0.14915626021279108,0.5441383385049455,0.7937201450477296,0.516103493376184,0.5109370320539598
L3_newyorktimes,0.7399085253845668,0.3307363041669906,0.6334293537851088,0.70314136329964,0.4922626602370188,0.20180508988658596
L3_washingtonpost,0.39169548490446265,-0.08909918996083772,0.2936212474466606,0.37340381338241,0.3250302540605877,0.6641368492541408
L4_breitbart,0.8458489006908937,-0.059550242048705626,0.5565754771027959,0.7967530361786334,0.7934361474906694,0.4076638154883536
L4_cnn,0.3404768702838541,0.9942613027948304,0.6244043647629531,0.301509260268053,-0.04402699061256696,-0.08129367052425619
L4_dailycaller,0.5725372936609432,0.5728311760075284,0.8831239588448945,0.5499219132212924,0.11095338776292388,0.07310253382929806
L4_foxnews,0.7063080374537165,0.1449223126542438,0.550883706139299,0.7961559459506533,0.5330539769382459,0.3520644833887319
L4_newyorktimes,0.8385361758970771,0.5160121946207289,0.7441194810095307,0.7533312798804925,0.5623400431517063,0.21006656681771643
L4_washingtonpost,0.4409474644880767,-0.10743979219850144,0.3330455038629972,0.427001728128674,0.36758525742863146,0.6813731743317302
L5_breitbart,0.9144029308376203,0.07664976305192797,0.6393477867298237,0.8488383679043289,0.7916341371622928,0.3864533112449683
L5_cnn,0.34277863287510707,0.9942613027948304,0.6237232520228636,0.30477704778470155,-0.03666434092350555,-0.08129367052425619
L5_dailycaller,0.5940712242470879,0.6253263411009824,0.8989079683488336,0.5879682793840513,0.10780723187297578,0.12181943271650474
L5_foxnews,0.7066231889455242,0.13569182460955298,0.5353426363984207,0.7794725505934738,0.5030844820094219,0.3553501427707961
L5_newyorktimes,0.8778798699456302,0.5127602328075904,0.7629940010076594,0.8061093026336091,0.6548553978464077,0.27084798445722297
L5_washingtonpost,0.5157144837589746,-0.10767173092955905,0.3813221726410175,0.5009260026011141,0.39178324362769756,0.5981256307652378
L6_breitbart,0.920728951790344,0.2518658082334464,0.6859346071108372,0.8542182758579776,0.7163006095732085,0.39499386780052764
L6_cnn,0.3401480470565323,0.9942613027948304,0.6209988010625056,0.31878185142748094,-0.06611493967975103,-0.08129367052425619
L6_dailycaller,0.5935823626561567,0.6165951386548939,0.9041585051587364,0.5654981196402818,0.14856875637825587,0.1432708026599198
L6_foxnews,0.7575005783957757,0.22971565186867812,0.6025601002779879,0.8291987087756393,0.4518181686307393,0.414847936074727
L6_newyorktimes,0.8995667162348882,0.49028662149652785,0.7787332793318997,0.855677082047344,0.7092305833146472,0.21562718258367156
L6_washingtonpost,0.6396680109367652,0.00533848879900517,0.46423939349402576,0.6124220836525412,0.5140695141866943,0.6256532653707245
L7_breitbart,0.9175920521845501,0.3340318734103411,0.6971327405555168,0.8526963693647387,0.7006945246936153,0.3787202734344172
L7_cnn,0.3398192238292104,0.9942613027948304,0.6196365755823267,0.3206491585798515,-0.06611493967975103,-0.062378280519919456
L7_dailycaller,0.5912369809487011,0.5970481844242171,0.912095820387326,0.530438884423679,0.1739840904342134,0.16477953029079204
L7_foxnews,0.7930453281493007,0.3127490262372842,0.6379640700380659,0.8749601855959743,0.47110978268696924,0.44245747491246923
L7_newyorktimes,0.8694996315108902,0.5145707910196088,0.7499867700709908,0.8323087310491386,0.7853340137227822,0.11982686658576146
L7_washingtonpost,0.6030311979617076,0.15305283984615256,0.5178947188966405,0.6333422256327653,0.45251305303063666,0.6254473304280936
L8_breitbart,0.9175620324245414,0.26798850845187394,0.6797671837752823,0.8568677508181082,0.7322485011844553,0.38991085245208806
L8_cnn,0.3411345167384978,0.9942613027948304,0.6196365755823267,0.3085116620894427,-0.06611493967975103,-0.076564823023172
