source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.30193328164758165,0.031208108461231596,0.3867860870627453,0.21061984039391007,0.3873924134924441,0.42620796420784285,0.3155952759133076
L1_breitbart,0.5584442724646426,0.28831840314659385,0.39112735893719897,0.5705466141025728,0.5060405950389547,0.38366194542427706,0.5174096463505076
L1_cnn,0.2985053451719492,0.524867827920228,0.2935765921695307,0.3340034359210333,0.3227832415389464,0.10008570899586246,0.3563059476605525
L1_dailycaller,0.5244636147950674,0.27394120158188556,0.5688385720113481,0.5618606521623658,0.46626950480258555,0.37746242863866514,0.47868746914881827
L1_foxnews,0.5893416521412997,0.2687657083928924,0.5015616021086663,0.6197162194904372,0.6621582095242845,0.5779948909969804,0.5543832380831679
L1_newyorktimes,0.26439043127212625,-0.14693472558544468,0.10195745670720656,0.2176857142493399,0.25152690294821645,0.39005392444949677,0.19282550151084504
L1_washingtonpost,0.36541559099843063,0.27781392544970107,0.3327174132457443,0.4840468503182431,0.4743442036081706,0.46628624915978467,0.5840059542579397
L2_abcnews,0.4291176961874265,0.13227710502524795,0.5191958238598706,0.3526743384328665,0.5087873056265686,0.5271467887015905,0.4748946288147093
L2_breitbart,0.8091446085703823,0.4434734789295734,0.4871695395681924,0.7911762936409699,0.6797779527795655,0.4790412987091379,0.69227505299931
L2_cnn,0.2674572234880367,0.4684624325140179,0.2996051137606038,0.3637276783850474,0.2672439426308154,0.050973112500375006,0.3068862282248896
L2_dailycaller,0.6966820519475126,0.3758908048687512,0.6587819937219901,0.7100854731139962,0.5732114482658853,0.44922880078611344,0.5417611276886988
L2_foxnews,0.6913146846924177,0.3356749575397787,0.4549874756342583,0.6557398869594373,0.6966573005686283,0.5957966502282639,0.6400609659046582
L2_newyorktimes,0.13496179185995882,-0.05708018466014283,0.0703045476559482,0.14412235540676405,0.15567438918590612,0.267314453498533,0.16011673166163218
L2_washingtonpost,0.6096268109880617,0.41427154585739956,0.40990670754668945,0.670993772826146,0.6142772809810875,0.36320337929340785,0.7422051666847858
L3_abcnews,0.5748360987127927,0.22452067056340877,0.5686659701616703,0.5001184987818148,0.5894468665479509,0.5514329630670115,0.5582687551275932
L3_breitbart,0.7163474861338208,0.560716347581901,0.3146821358354679,0.7216133119997815,0.5686732059866573,0.3897138286775691,0.6476292796877267
L3_cnn,0.19988978438641375,0.42348509660977446,0.3398283449715012,0.23595060084117986,0.21963736969975478,0.09674390238000803,0.23807661619088882
L3_dailycaller,0.8065563700421833,0.41115298526562005,0.6441887624118646,0.8371460483234067,0.6604037789456755,0.5630753813770789,0.6613929184765385
L3_foxnews,0.8148708850060987,0.4153092848698621,0.5089533947333339,0.7566863062594893,0.7878382928459895,0.49552172810214895,0.7209938629674162
L3_newyorktimes,-0.031852653630326036,-0.06215518756686622,0.027842957951431265,0.019364528312856004,0.10004542050868084,0.20339414137116063,0.036892712615729704
L3_washingtonpost,0.6162650213063859,0.5001677177930256,0.29938888901644045,0.71650075376599,0.5765162285895534,0.2580061654191594,0.7362041072331846
L4_abcnews,0.6799679429742695,0.3184642373645385,0.5967446855605923,0.6079992491438951,0.6041055229727393,0.5662537501793357,0.6173844649439288
L4_breitbart,0.579370799342233,0.5570946753228166,0.1599975953840867,0.5850583439451481,0.5329885710337123,0.3384321088264978,0.5350024272041283
L4_cnn,0.0383217526654393,0.43557323122620994,0.33858396946782887,0.07538978668804731,0.17396560367504446,0.14832594024478504,0.19999182959789646
L4_dailycaller,0.8663597962084074,0.3926687534964945,0.6398718999376413,0.8766035400000419,0.6981778014029311,0.5707281503716991,0.6796338007967407
L4_foxnews,0.7735909430387888,0.4397177548600908,0.5624233111111626,0.7336539026940432,0.8165002396405013,0.397502862535965,0.6787138416146825
L4_newyorktimes,-0.15618659732110135,-0.046207814328097806,-0.13484664052998258,-0.11298511050297844,0.04971640986410191,0.1947603469476243,-0.03933871356121269
L4_washingtonpost,0.6724284146332612,0.6337536738067533,0.41742997562379747,0.7844041308061441,0.6241851858331887,0.3354518735602633,0.8323577705325622
L5_abcnews,0.7177104518665183,0.34791212847361425,0.6111327628902404,0.7001736221132432,0.5737752025408571,0.5731464628590229,0.6562421836027525
