source,newyorktimes,washingtonpost
L1_newyorktimes,-0.21347324544179652,0.0015548102665239455
L1_washingtonpost,-0.010031702080526348,0.05996811210099252
L2_newyorktimes,-0.2722394340903528,0.19326302954776123
L2_washingtonpost,-0.4163540953745173,0.0938859037091627
L3_newyorktimes,-0.28717592279119847,0.3737735496201667
L3_washingtonpost,-0.4583354918152649,0.25680987699888375
L4_newyorktimes,-0.3164692433913458,0.4725097226913866
L4_washingtonpost,-0.35820399695339883,0.26880219853994713
L5_newyorktimes,-0.33480559417264505,0.4249491564312023
L5_washingtonpost,-0.46672622373298545,0.43916164692925114
L6_newyorktimes,-0.3057163033905066,0.27353790388453914
L6_washingtonpost,-0.5117955929831217,0.5407661748129355
L7_newyorktimes,-0.19457184373138525,0.3080915972929844
L7_washingtonpost,-0.47969264059574573,0.5400556687481073
L8_newyorktimes,-0.1938960877215299,0.49038251525113785
L8_washingtonpost,-0.29307215527218217,0.41958497458126603
L9_newyorktimes,-0.10149781582301981,0.39467978377875723
L9_washingtonpost,-0.25200831468099977,0.3324053063383936
L10_newyorktimes,-0.23420536057728195,0.23886064907803864
L10_washingtonpost,-0.3926397373935528,0.3897521511408467
L11_newyorktimes,-0.29931744518294623,0.03930265513653806
L11_washingtonpost,-0.5450778492448185,0.5244351625415535
L12_newyorktimes,-0.06750140449837298,-0.2766670405723104
L12_washingtonpost,-0.4915409730409092,0.6147085800526074
