source,breitbart,dailycaller,foxnews
L1_breitbart,0.21016469268536495,0.15484706608610704,-0.12978728716596777
L1_dailycaller,0.25729925436941786,0.19223911329440002,-0.12978728716596777
L1_foxnews,-0.15749324330515205,-0.1725216501690522,0.2808066023043137
L2_breitbart,0.32463097793421103,0.18910055565205522,-0.1802619184712389
L2_dailycaller,0.3573636388172573,0.24103447239009956,-0.15116901390784274
L2_foxnews,-0.2154174720239981,-0.2620171304335845,0.411236944601109
L3_breitbart,0.4148832842141926,0.11180805442693144,-0.22288621653054005
L3_dailycaller,0.44186498211641634,0.28732655428182147,-0.1989047881696591
L3_foxnews,-0.2611824955284143,-0.3290240913596081,0.471247460562622
L4_breitbart,0.49510829636997433,0.04080742922519781,-0.2617298411526975
L4_dailycaller,0.5188712580816898,0.3311168034414149,-0.24060923688246397
L4_foxnews,-0.28485724471193263,-0.26106896976038874,0.5039278123947148
L5_breitbart,0.5703615756803949,-0.01538601301493604,-0.2986443788130558
L5_dailycaller,0.4619035579335636,0.3735157106915401,-0.2793648049909472
L5_foxnews,-0.28085460562655773,-0.2890419203383619,0.5248924945697914
L6_breitbart,0.643255641148953,-0.06352720774169678,-0.22665759057938015
L6_dailycaller,0.39610628958486793,0.4153847482396063,-0.31668513823941424
L6_foxnews,-0.30947241840852374,-0.29815300838834125,0.5387153725403584
L7_breitbart,0.6553002646047767,-0.07102798819281066,-0.1266868524249412
L7_dailycaller,0.3424611740406482,0.45739885388366397,-0.3535024649533224
L7_foxnews,-0.3319076640767889,-0.33601143443988957,0.5759838140360961
L8_breitbart,0.6553002646047767,-0.07102798819281067,-0.019696483955671636
L8_dailycaller,0.29685856709081815,0.5001340082268342,-0.3904938595979729
L8_foxnews,-0.3146595584441047,-0.33601143443988957,0.5759838140360961
L9_breitbart,0.6553002646047769,-0.07102798819281067,-0.01969648395567164
L9_dailycaller,0.2783243839542467,0.5441281058221591,-0.4282223207707135
L9_foxnews,-0.3146595584441047,-0.24023046821900115,0.5759838140360961
L10_breitbart,0.6210594900620715,-0.09286159826149562,-0.04607375236057925
L10_dailycaller,0.3679994605826041,0.5899257748309754,-0.3892927187245381
L10_foxnews,-0.31020526145642013,-0.1815819966070867,0.5951767609002582
L11_breitbart,0.6210594900620715,-0.09286159826149565,0.05810286011974532
L11_dailycaller,0.42134484932156613,0.6024231838230721,-0.33178958893026117
L11_foxnews,-0.2842507044186254,-0.04156481187436007,0.5587297772274866
L12_breitbart,0.5901110045057104,-0.11387290216564891,-0.05432285874519787
L12_dailycaller,0.29669303763055815,0.602423183823072,-0.23946378031007948
L12_foxnews,-0.2632103765153599,0.05858347500401918,0.5587297772274867
