source,newyorktimes,washingtonpost
L1_newyorktimes,0.12918056033131828,0.1654144052095938
L1_washingtonpost,-0.0718138315550422,-0.1602143483165756
L2_newyorktimes,0.09077186993722058,0.19551508565910064
L2_washingtonpost,-0.0014264788675485524,-0.2915563839910494
L3_newyorktimes,0.3299160199202912,0.15960353759544585
L3_washingtonpost,-0.12009410619950535,-0.49207803448029114
L4_newyorktimes,0.17315354720068304,0.1699029856481358
L4_washingtonpost,-0.07545695677432794,-0.6333033523708418
L5_newyorktimes,0.11825631876538026,0.28294215250018767
L5_washingtonpost,-0.1675427532539504,-0.7374672727379363
L6_newyorktimes,-0.062073524702430445,0.48235770043074305
L6_washingtonpost,-0.19263530314626948,-0.7736656886392967
L7_newyorktimes,-0.24791923498717955,0.44687337089831186
L7_washingtonpost,-0.14513331226826484,-0.7088592268944416
L8_newyorktimes,-0.2996921471928542,0.47901850367840837
L8_washingtonpost,-0.21229840735621272,-0.6500063682347416
L9_newyorktimes,-0.380331382930571,0.19294123000005636
L9_washingtonpost,-0.2942075026915381,-0.6787181505334996
L10_newyorktimes,-0.4016812216788945,0.26907458672392487
L10_washingtonpost,-0.32790879865829453,-0.7689540157750443
L11_newyorktimes,-0.4185962215972742,0.26776904730718715
L11_washingtonpost,-0.41305355229348434,-0.8144928309229662
L12_newyorktimes,-0.42108650384134116,0.14504780827908254
L12_washingtonpost,-0.3591799014876553,-0.759400139576526
