source,newyorktimes,washingtonpost
L1_newyorktimes,0.4317306715767267,-0.39561494710736883
L1_washingtonpost,-0.043479443718528944,-0.07711465855354037
L2_newyorktimes,0.07139063339134791,-0.2717944725236518
L2_washingtonpost,-0.2671527043652903,-0.28392912342549226
L3_newyorktimes,-0.012112683182318803,-0.2607815319687892
L3_washingtonpost,-0.21504909189122465,-0.055938262696326464
L4_newyorktimes,0.19509184356834572,-0.11012410233083021
L4_washingtonpost,-0.04699807199992821,0.11405347304343237
L5_newyorktimes,0.4038041905469103,0.027949197189969462
L5_washingtonpost,-0.297494241082792,-0.2139984567306842
L6_newyorktimes,0.5433110317317769,-0.01495791189521894
L6_washingtonpost,-0.2523547272604405,0.03690421338103415
L7_newyorktimes,0.5744006581418641,0.18659869731365808
L7_washingtonpost,0.0034127013336310926,0.1038913371619944
L8_newyorktimes,0.6240875592561458,0.3518812313085282
L8_washingtonpost,0.27217712815362843,-0.039494679069756386
L9_newyorktimes,0.62585763277789,0.23623066899329132
L9_washingtonpost,0.36917488597100373,0.21088439238768195
L10_newyorktimes,0.42330222798203926,0.08116872262973163
L10_washingtonpost,0.35378291292954245,-0.0860513271594038
L11_newyorktimes,0.1326628197447822,-0.043294151853275925
L11_washingtonpost,0.1654641614855446,-0.3442360200662145
L12_newyorktimes,-0.001540273721891489,-0.20653491125442894
L12_washingtonpost,-0.16878705619176826,-0.20667983432238912
