source,newyorktimes,washingtonpost
L1_newyorktimes,-0.0021053911695049707,-0.08474049211319909
L1_washingtonpost,-0.15787132051801778,-0.04612591108497996
L2_newyorktimes,-0.013784706299655865,-0.11616789738930239
L2_washingtonpost,-0.21251628818602158,-0.1031715428539383
L3_newyorktimes,-0.23040194675592468,-0.258932161661707
L3_washingtonpost,-0.285306379869006,-0.06925640739000784
L4_newyorktimes,-0.25192850369874625,-0.2798719440065241
L4_washingtonpost,-0.2887524506231227,-0.01569787375772521
L5_newyorktimes,-0.09720652386183214,-0.24596298794462307
L5_washingtonpost,-0.33715827532202264,0.0574403645307778
L6_newyorktimes,-0.0755058954423849,-0.3171845943508699
L6_washingtonpost,-0.22641088635836942,0.06072882015343474
L7_newyorktimes,-0.007973277698943227,-0.3444733499142203
L7_washingtonpost,-0.036622225792163655,0.16485310697051211
L8_newyorktimes,0.11390452264141755,-0.31784500708103863
L8_washingtonpost,0.10766746740715528,0.28753236070332094
L9_newyorktimes,0.17014567921035573,-0.24487727546328544
L9_washingtonpost,0.21388007870918183,0.4236347666261222
L10_newyorktimes,0.19643341117751398,-0.0662559747486149
L10_washingtonpost,0.4188546912828719,0.6625942898193565
L11_newyorktimes,0.3467337911579304,0.10228544163774485
L11_washingtonpost,0.5501077669158121,0.688971329744205
L12_newyorktimes,0.3294043790376479,0.20306061792061283
L12_washingtonpost,0.6589399867344929,0.70484293826394
