source,newyorktimes,washingtonpost
L1_newyorktimes,-0.10655107141165011,-0.1175454526387553
L1_washingtonpost,0.2968786212294404,0.08046975592947182
L2_newyorktimes,-0.17502061812806194,0.017572051427782738
L2_washingtonpost,0.10178005043090019,0.30638490301039706
L3_newyorktimes,-0.16497151587677325,0.3258394867752606
L3_washingtonpost,0.11041689842147541,-0.019904097656623026
L4_newyorktimes,-0.17427051630161428,0.4483661039064565
L4_washingtonpost,0.23287202064673082,0.0674988228810538
L5_newyorktimes,-0.26586221846041047,0.060447254103660926
L5_washingtonpost,0.39902186543560403,0.1845592061053213
L6_newyorktimes,-0.2779141432776294,-0.0655039898735279
L6_washingtonpost,0.31270311434112574,0.17925507025748016
L7_newyorktimes,-0.31853687628536737,-0.006442000866667049
L7_washingtonpost,-0.22855586071666864,0.04140712945866543
L8_newyorktimes,-0.2495730760795413,-0.1103163981302163
L8_washingtonpost,-0.5383936044654158,-0.07465079436871207
L9_newyorktimes,-0.3080848864325515,-0.1111533095362988
L9_washingtonpost,-0.3566796002920945,0.07456662075309238
L10_newyorktimes,-0.46578533620972296,-0.1495093776951796
L10_washingtonpost,-0.07138767243985154,0.02242820586371205
L11_newyorktimes,-0.4400279270352713,0.018307265969816557
L11_washingtonpost,0.05982559483941253,-0.06885308783305981
L12_newyorktimes,-0.4606727496157378,0.008531747408822805
L12_washingtonpost,0.14022335961836474,-0.01239056211150956
