source,newyorktimes,washingtonpost
L1_newyorktimes,0.11140509151049226,-0.2724851337536561
L1_washingtonpost,0.06284051043717064,-0.1243050397376274
L2_newyorktimes,0.12201892881645245,-0.25831508952236776
L2_washingtonpost,0.07294851775931659,-0.10437349465119919
L3_newyorktimes,0.12653700559489367,-0.2358917122618119
L3_washingtonpost,-0.06042675291392814,-0.23475790699456311
L4_newyorktimes,0.05254918024646473,-0.24378096125584403
L4_washingtonpost,0.017649355342510945,-0.3454479473640987
L5_newyorktimes,0.003754147703445579,-0.28268641336575
L5_washingtonpost,0.17442374729336121,-0.2564439325685766
L6_newyorktimes,-0.16123393077354092,-0.24986366525806314
L6_washingtonpost,0.12190528906441876,-0.26442883766091685
L7_newyorktimes,-0.004800195040732171,-0.17471201893074095
L7_washingtonpost,0.20033488263488688,-0.31281394952066854
L8_newyorktimes,0.2274984090059601,-0.21757555924449756
L8_washingtonpost,0.1434009013485369,-0.3047906701215877
L9_newyorktimes,0.40577643048872875,-0.17833420755258045
L9_washingtonpost,0.06184991634628821,-0.2316413058357336
L10_newyorktimes,0.6298895807320797,-0.008824162655228516
L10_washingtonpost,0.04020695811329218,-0.22967866428546685
L11_newyorktimes,0.48967319931115644,0.08068239754733436
L11_washingtonpost,-0.07255483352152266,-0.1562726808900401
L12_newyorktimes,0.45289167307628486,0.168911225783279
L12_washingtonpost,-0.1741268516391169,-0.06200472931068194
