source,abcnews,breitbart,cnn,dailycaller,foxnews,washingtonpost
L1_abcnews,0.2962728471882553,-0.22447484452388908,-0.0431331092813754,-0.06059678724350837,-0.07817191418515529,-0.07963035559638537
L1_breitbart,-0.13513802928978433,0.13609084397631577,-0.10919492538753911,0.03579464623514178,0.12045993831339658,-0.1450841665988281
L1_cnn,-0.0674592466871221,-0.15410336746325648,0.6972166887783962,-0.055971707854955685,-0.0722054046471401,0.43671814571833634
L1_dailycaller,-0.06381539067293208,0.06070737608464079,-0.03768891807222046,0.8612933044554802,0.8473802258733854,-0.069579541056407
L1_foxnews,-0.08382656694710684,0.0047679488054368675,-0.04950737714883374,0.4451319072597257,0.7763099270619562,-0.09139823473630841
L1_washingtonpost,-0.11357843023283475,-0.23640860394009358,0.4647589894489891,-0.09423732146167377,-0.12156934618889453,0.653463670335494
L2_abcnews,0.3293673857362268,-0.3265857312415408,-0.0575792936028459,-0.08089192414398318,-0.10435333026889092,-0.10630023434371554
L2_breitbart,-0.06402702748909798,0.14281991721026965,-0.13599739301725808,0.004349329760899719,0.004966065831842847,-0.17554635346317735
L2_cnn,-0.0674592466871221,-0.10618887505871455,0.6972166887783962,-0.05597170785495568,-0.07220540464714009,0.4367181457183362
L2_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L2_foxnews,-0.08647192459391013,0.03248322727716459,-0.051069706652277114,0.7402575819872832,0.9409438753006316,-0.09428253535805003
L2_washingtonpost,-0.10561154733445328,0.1538105372346172,-0.06237343238042669,-0.08762710768073673,-0.11304194584417909,0.4706795166553732
L3_abcnews,0.20070810217804788,-0.38752173491902436,-0.06177365729873084,-0.08678449643325209,-0.11195494870908135,-0.1140436750130417
L3_breitbart,-0.17439285710616148,0.20502326118011469,-0.16008615227393744,-0.2048501578029399,-0.19734665646885904,-0.18026383226397955
L3_cnn,-0.0674592466871221,-0.1221603725268952,0.697216688778396,-0.05597170785495568,-0.07220540464714009,0.4367181457183363
L3_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L3_foxnews,-0.08598004714037033,0.047865142618521365,-0.0507792073095238,0.8884901805350127,0.9981354578406598,-0.0937462288791208
L3_washingtonpost,-0.12905944264574523,-0.004542081268397203,0.45256571079273167,-0.10708209436720595,-0.13813953960961323,0.6728021417129193
L4_abcnews,0.25800069818398563,-0.4591976906497901,-0.07238303560479314,-0.1016893862199928,-0.1311827628944467,-0.13363021957807986
L4_breitbart,-0.15576666039932743,0.2679378046828915,-0.18959478540512326,-0.24731374827226385,-0.2474774730755925,-0.2248928112274817
L4_cnn,-0.0674592466871221,-0.10618887505871455,0.697216688778396,-0.05597170785495567,-0.07220540464714009,0.4367181457183362
L4_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
