source,newyorktimes,washingtonpost
L1_newyorktimes,0.46551481233623626,0.02154184654408036
L1_washingtonpost,0.3021828492874663,0.009135895393973829
L2_newyorktimes,0.6395969066040919,-0.18332535058044383
L2_washingtonpost,0.385630102465757,-0.35058359105398845
L3_newyorktimes,0.6708810991402707,-0.34016043453861644
L3_washingtonpost,0.3078663936939389,-0.44581181206775744
L4_newyorktimes,0.43336916713982093,-0.1019221631558573
L4_washingtonpost,0.17987484728948996,-0.3800793444886216
L5_newyorktimes,0.16511877273753178,0.0656426113708632
L5_washingtonpost,0.15297831244379534,-0.5543712351358471
L6_newyorktimes,0.06268702363753423,0.08202889428557296
L6_washingtonpost,0.19221156023967434,-0.5766428156847948
L7_newyorktimes,0.10925879402852375,0.10061821376894257
L7_washingtonpost,0.20920332231625977,-0.5146225540419078
L8_newyorktimes,0.39771781425844316,-0.2419369889677835
L8_washingtonpost,0.22231981365456513,-0.4837100341975151
L9_newyorktimes,0.660107630798709,-0.5633504113099863
L9_washingtonpost,0.15562984607008204,-0.6424332997636698
L10_newyorktimes,0.7652260489791807,-0.7666914629069509
L10_washingtonpost,0.13379971822821823,-0.6865771364151769
L11_newyorktimes,0.6261895701159096,-0.6583210955619017
L11_washingtonpost,0.09117414196226317,-0.6183793658929103
L12_newyorktimes,0.3945433882581865,-0.4525718955262078
L12_washingtonpost,0.08543891918395,-0.5659270133567823
