source,newyorktimes,washingtonpost
L1_newyorktimes,-0.06705901129921944,0.20500764384738446
L1_washingtonpost,0.3928857250017103,0.5432266415166462
L2_newyorktimes,0.062258076925491235,0.19282798712615815
L2_washingtonpost,0.5044486309168118,0.7998254045196965
L3_newyorktimes,0.06753560870159979,0.24428123037509886
L3_washingtonpost,0.41656876127883163,0.7566353672771214
L4_newyorktimes,0.21393688981812758,0.39468135169857493
L4_washingtonpost,0.30282484628131867,0.6917210289016306
L5_newyorktimes,0.1542822716400426,0.4746523685900823
L5_washingtonpost,0.3938283809204914,0.48192087520925736
L6_newyorktimes,0.1755086024829878,0.476555630831075
L6_washingtonpost,0.4658576450839018,0.3680182962334669
L7_newyorktimes,0.3019517821686425,0.4893425800457842
L7_washingtonpost,0.47358978001770635,0.3875186820217297
L8_newyorktimes,0.3249636578701599,0.4504785943975212
L8_washingtonpost,0.46830035940400533,0.6895285350116118
L9_newyorktimes,0.34259376559162447,0.22601468699492022
L9_washingtonpost,0.37825074570963146,0.679627409293055
L10_newyorktimes,0.2196004755731835,-0.13565525811338744
L10_washingtonpost,0.24921621922928186,0.5728299401548658
L11_newyorktimes,0.09903048366606441,-0.07790377629325007
L11_washingtonpost,0.16691891229596914,0.43120327821330917
L12_newyorktimes,0.13569691554094135,-0.09809757437722004
L12_washingtonpost,0.005761203477258598,0.2284817552019155
