source,newyorktimes,washingtonpost
L1_newyorktimes,-0.12049068484730828,-0.042983348211959545
L1_washingtonpost,0.10753283159826932,0.018144423418157838
L2_newyorktimes,-0.3788835931487955,0.07220224087110985
L2_washingtonpost,-0.1359611583487461,-0.0842639520108895
L3_newyorktimes,-0.4735299618981318,0.38568118243420507
L3_washingtonpost,-0.06949053477752039,-0.502089322589757
L4_newyorktimes,-0.562399615935042,0.1510904872418554
L4_washingtonpost,0.1450986362355197,-0.6175936845977629
L5_newyorktimes,-0.4202084589922552,-0.018579807184002834
L5_washingtonpost,0.01916782262113042,-0.4180087487505809
L6_newyorktimes,-0.47276348024257436,0.1260826416522783
L6_washingtonpost,-0.07676503581082723,-0.32316853805774587
L7_newyorktimes,-0.40692178685654856,0.047310199191684214
L7_washingtonpost,-0.01947810911280195,-0.4484626421496673
L8_newyorktimes,-0.4734922325457445,-0.11961404603157189
L8_washingtonpost,-0.05986191205311142,-0.5045821893725145
L9_newyorktimes,-0.43300833895339064,-0.15427169198207202
L9_washingtonpost,-0.16810144671150762,-0.4132023827086876
L10_newyorktimes,-0.3635181331403873,-0.23968565937056804
L10_washingtonpost,0.08685721356952761,-0.49994960931877863
L11_newyorktimes,-0.28187408536562814,-0.07078354108733927
L11_washingtonpost,0.21370577411162953,-0.5947772836988835
L12_newyorktimes,-0.18470066366801777,0.18544629618907155
L12_washingtonpost,0.20694773839704184,-0.6483217936830453
